"taxon","year","height"
"grasses","2003",0.5
"grasses","2003",3.5
"grasses","2003",6
"grasses","2003",3.5
"grasses","2003",2
"grasses","2003",1.5
"grasses","2003",3
"grasses","2003",1
"grasses","2003",1
"grasses","2003",8
"grasses","2003",3.5
"grasses","2003",1.5
"grasses","2003",5
"grasses","2003",2.5
"grasses","2003",0.5
"grasses","2003",3.5
"grasses","2003",1.5
"grasses","2003",4
"grasses","2003",3.5
"grasses","2003",3
"grasses","2005",2.5
"grasses","2005",4.5
"grasses","2005",6.5
"grasses","2005",1.5
"grasses","2005",2.5
"grasses","2005",3.5
"grasses","2005",6
"grasses","2005",7.5
"grasses","2005",6
"grasses","2005",3
"grasses","2005",8
"grasses","2005",2
"grasses","2005",7.5
"grasses","2005",7
"grasses","2005",2.5
"grasses","2005",3.5
"grasses","2005",6.5
"grasses","2005",5.5
"grasses","2005",3
"grasses","2005",1.5
"grasses","2008",5
"grasses","2008",3
"grasses","2008",12
"grasses","2008",14
"grasses","2008",5
"grasses","2008",2.5
"grasses","2008",3
"grasses","2008",4
"grasses","2008",2.5
"grasses","2008",7
"grasses","2008",6
"grasses","2008",12.5
"grasses","2008",5
"grasses","2008",5
"grasses","2008",4
"grasses","2008",3.5
"grasses","2008",2.5
"grasses","2008",4
"grasses","2008",4
"grasses","2008",6.5
"grasses","2010",9.5
"grasses","2010",3
"grasses","2010",2
"grasses","2010",3.5
"grasses","2010",8.5
"grasses","2010",4
"grasses","2010",3
"grasses","2010",5.5
"grasses","2010",3
"grasses","2010",4.5
"grasses","2010",7.5
"grasses","2010",6
"grasses","2010",7
"grasses","2010",7
"grasses","2010",6
"grasses","2010",3
"grasses","2010",3
"grasses","2010",4
"grasses","2010",17
"grasses","2010",5
"grasses","2013",2.5
"grasses","2013",2.5
"grasses","2013",14.5
"grasses","2013",7
"grasses","2013",7
"grasses","2013",2.5
"grasses","2013",3.5
"grasses","2013",9
"grasses","2013",2.5
"grasses","2013",3
"grasses","2013",4.5
"grasses","2013",2.5
"grasses","2013",4.5
"grasses","2013",5
"grasses","2013",2
"grasses","2013",4
"grasses","2013",6
"grasses","2013",3
"grasses","2013",7.5
"grasses","2013",7.5
"moss","2003",2
"moss","2003",3
"moss","2003",2
"moss","2003",0.5
"moss","2003",3
"moss","2003",1
"moss","2003",4.5
"moss","2003",4
"moss","2003",1
"moss","2003",1
"moss","2003",0.5
"moss","2003",1
"moss","2003",1
"moss","2003",0.5
"moss","2003",1.5
"moss","2003",2
"moss","2003",5.5
"moss","2003",0.5
"moss","2003",3
"moss","2003",1
"moss","2005",0.5
"moss","2005",4
"moss","2005",2
"moss","2005",3
"moss","2005",1.5
"moss","2005",3.5
"moss","2005",4.5
"moss","2005",2
"moss","2005",3
"moss","2005",3
"moss","2005",1.5
"moss","2005",2
"moss","2005",2
"moss","2005",1.5
"moss","2005",1.5
"moss","2005",5.5
"moss","2005",2.5
"moss","2005",0.5
"moss","2005",2
"moss","2005",2.5
"moss","2008",5
"moss","2008",2.5
"moss","2008",2
"moss","2008",5
"moss","2008",2
"moss","2008",2
"moss","2008",5
"moss","2008",2
"moss","2008",4
"moss","2008",4.5
"moss","2008",3.5
"moss","2008",2.5
"moss","2008",6
"moss","2008",1.5
"moss","2008",5
"moss","2008",6
"moss","2008",3
"moss","2008",5
"moss","2008",1.5
"moss","2008",1.5
"moss","2010",5
"moss","2010",2.5
"moss","2010",0.5
"moss","2010",4.5
"moss","2010",2
"moss","2010",2
"moss","2010",2.5
"moss","2010",4.5
"moss","2010",2
"moss","2010",1.5
"moss","2010",3.5
"moss","2010",6.5
"moss","2010",4
"moss","2010",3.5
"moss","2010",3
"moss","2010",3.5
"moss","2010",4.5
"moss","2010",1.5
"moss","2010",4
"moss","2010",4
"moss","2013",5
"moss","2013",2
"moss","2013",5
"moss","2013",2
"moss","2013",4
"moss","2013",6.5
"moss","2013",6.5
"moss","2013",2.5
"moss","2013",2
"moss","2013",5.5
"moss","2013",3.5
"moss","2013",6
"moss","2013",3
"moss","2013",5
"moss","2013",5
"moss","2013",4
"moss","2013",3
"moss","2013",4
"moss","2013",3.5
"moss","2013",4
"shrubs","2003",4
"shrubs","2003",2.5
"shrubs","2003",4
"shrubs","2003",3.5
"shrubs","2003",3
"shrubs","2003",2.5
"shrubs","2003",1
"shrubs","2003",1.5
"shrubs","2003",2
"shrubs","2003",1.5
"shrubs","2003",2
"shrubs","2003",3
"shrubs","2003",2.5
"shrubs","2003",1
"shrubs","2003",2.5
"shrubs","2003",3
"shrubs","2003",1.5
"shrubs","2003",2
"shrubs","2003",2
"shrubs","2003",4
"shrubs","2005",1.5
"shrubs","2005",2.5
"shrubs","2005",4
"shrubs","2005",3.5
"shrubs","2005",4
"shrubs","2005",2
"shrubs","2005",2.5
"shrubs","2005",4
"shrubs","2005",3
"shrubs","2005",2.5
"shrubs","2005",5
"shrubs","2005",2.5
"shrubs","2005",3
"shrubs","2005",3
"shrubs","2005",3.5
"shrubs","2005",2.5
"shrubs","2005",4
"shrubs","2005",2
"shrubs","2005",3
"shrubs","2005",2.5
"shrubs","2008",4.5
"shrubs","2008",2.5
"shrubs","2008",2.5
"shrubs","2008",3
"shrubs","2008",2
"shrubs","2008",2.5
"shrubs","2008",2.5
"shrubs","2008",1.5
"shrubs","2008",1
"shrubs","2008",1.5
"shrubs","2008",1.5
"shrubs","2008",2
"shrubs","2008",4
"shrubs","2008",3.5
"shrubs","2008",3
"shrubs","2008",2.5
"shrubs","2008",3
"shrubs","2008",3
"shrubs","2008",2
"shrubs","2008",2
"shrubs","2010",4
"shrubs","2010",2.5
"shrubs","2010",4.5
"shrubs","2010",6
"shrubs","2010",3.5
"shrubs","2010",5
"shrubs","2010",5
"shrubs","2010",4.5
"shrubs","2010",5
"shrubs","2010",4.5
"shrubs","2010",5
"shrubs","2010",3.5
"shrubs","2010",6
"shrubs","2010",3.5
"shrubs","2010",3
"shrubs","2010",2.5
"shrubs","2010",4.5
"shrubs","2010",2.5
"shrubs","2010",7
"shrubs","2010",6
"shrubs","2013",3.5
"shrubs","2013",5.5
"shrubs","2013",4.5
"shrubs","2013",2
"shrubs","2013",3
"shrubs","2013",4
"shrubs","2013",3.5
"shrubs","2013",3.5
"shrubs","2013",2
"shrubs","2013",3.5
"shrubs","2013",5
"shrubs","2013",2.5
"shrubs","2013",5
"shrubs","2013",2
"shrubs","2013",4.5
"shrubs","2013",5.5
"shrubs","2013",3
"shrubs","2013",3.5
"shrubs","2013",6
"shrubs","2013",5
